0,Symbol,Name
1,BTC,Bitcoin
2,ETH,Ethereum
3,USDT,Tether
4,BNB,BNB
5,USDC,Coin
6,XRP,XRP
7,HEX,HEX
8,ADA,Cardano
9,STETH,Lido-Staked-ETH
10,MATIC,Polygon
11,DOGE,Dogecoin
12,BUSD,Binance
13,SOL,Solana
14,DOT,Polkadot
15,LTC,Litecoin
16,WTRX,Wrapped-TRON
17,SHIB,Shiba-Inu
18,TRX,TRON
19,AVAX,Avalanche
20,DAI,Dai
21,TMG,T-mac-DAO
22,WBTC,Wrapped-Bitcoin
23,LINK,Chainlink
24,LEO,UNUS-SED-LEO
25,ATOM,Cosmos
26,XMR,Monero
27,ETC,Ethereum-Classic
28,UNI7083,Uniswap
29,TON11419,Toncoin
30,OKB,OKB
31,XLM,Stellar
32,BCH,Bitcoin-Cash
33,FIL,Filecoin
34,APT21794,Aptos
35,TUSD,TRUE
36,HBAR,Hedera
37,LDO,Lido-DAO
38,CRO,Cronos
39,NEAR,NEAR-Protocol
40,VET,VeChain
41,APE18876,ApeCoin
42,ALGO,Algorand
43,QNT,Quant
44,BTCB,Bitcoin-BEP2
45,ICP,Internet-Computer
46,STX4847,Stacks
47,GRT6719,The-Graph
48,FTM,Fantom
49,EOS,EOS
50,WBNB,Wrapped-BNB
51,BIT11221,BitDAO
52,MANA,Decentraland
53,HBTC,Huobi-BTC
54,EGLD,MultiversX
55,XTZ,Tezos
56,FRAX,Frax
57,AAVE,Aave
58,THETA,Theta-Network
59,FLOW,Flow
60,AXS,Axie-Infinity
61,IMX10603,Immutable
62,SAND,The-Sandbox
63,CFX,Conflux
64,USDP,Pax-Dollar
65,NEO,Neo
66,KCS,KuCoin-Token
67,CHZ,Chiliz
68,RPL,Rocket-Pool
69,LUNC,Terra-Classic
70,USDD,D
71,BSV,Bitcoin-SV
72,OP,Optimism
73,KLAY,Klaytn
74,MINA,Mina
75,CAKE,PancakeSwap
76,CRV,Curve-DAO-Token
77,DASH,Dash
78,BTTOLD,BitTorrent
79,MKR,Maker
80,TNC5524,TNC-Coin
81,SNX,Synthetix
82,GUSD,Gemini-Dollar
83,HT,Huobi-Token
84,GMX11857,GMX
85,XEC,eCash
86,ZEC,Zcash
87,BTT,BitTorrent(New)
88,MIOTA,IOTA
89,BGB,Bitget-Token
90,FXS,Frax-Share
91,XDC,XDC-Network
92,GT,GateToken
93,PAXG,PAX-Gold
94,AGIX,SingularityNET
95,TWT,Trust-Wallet-Token
96,XAUT,Tether-Gold
97,LRC,Loopring
98,RUNE,THORChain
99,MASK8536,Mask-Network
100,RNDR,Render-Token
101,XRD,Radix
102,ZIL,Zilliqa
103,FTT,FTX-Token
104,FLR,Flare
105,1INCH,1inch-Network
106,NEXO,Nexo
107,FEI,Fei
108,OSMO,Osmosis
109,KAVA,Kava
110,CVX,Convex-Finance
111,ENJ,Enjin-Coin
112,CSPR,Casper
113,DFI,DeFiChain
114,SSV,ssv.network
115,BAT,Basic-Attention-Token
116,NXM,NXM
117,T,Threshold
118,DYDX,dYdX
119,ETHW,EthereumPoW
120,XEM,NEM
121,WEMIX,WEMIX
122,BAL,Balancer
123,QTUM,Qtum
124,ROSE,Oasis-Network
125,WOO,WOO-Network
126,FLOKI,FLOKI
127,RVN,Ravencoin
128,TFUEL,Theta-Fuel
129,KAS,Kaspa
130,LUNA20314,Terra
131,DCR,Decred
132,HOT2682,Holo
133,ANKR,Ankr
134,COMP5692,Compound
135,USDJ,J
136,YFI,yearn.finance
137,MAGIC14783,MAGIC
138,FET,Fetch.ai
139,CELO,Celo
140,INJ,Injective
141,KSM,Kusama
142,MOB,MobileCoin
143,GNO,Gnosis
144,GALA,Gala
145,AR,Arweave
146,BTG,Bitcoin-Gold
147,LN,LINK
148,AUDIO,Audius
149,ONE3945,Harmony
150,LUSD,Liquity
151,ASTR,Astar
152,ENS,Ethereum-Name-Service
153,XCH,Chia
154,BABYDOGE,Baby-Doge-Coin
155,OMG,OMEGA-FINANCE
156,BONE11865,Bone-ShibaSwap
157,BDX,Beldex
158,ASTRAFER,Astrafer
159,GLM,Golem
160,WAVES,Waves
161,IOTX,IoTeX
162,SUSHI,SushiSwap
163,GMT18069,STEPN
164,JST,JUST
165,DAO,DAO-Maker
166,GLMR,Moonbeam
167,BLUR,Blur
168,GNS,Gains-Network
169,JASMY,JasmyCoin
170,USTC,TerraClassic
171,BAND,Band-Protocol
172,OCEAN,Ocean-Protocol
173,SC,Siacoin
174,KDA,Kadena
175,EDGT,Edgecoin
176,MV,GensoKishi-Metaverse
177,CKB,Nervos-Network
178,SURE,inSure-DeFi
179,ICX,ICON
180,ONT,Ontology
181,HNT,Helium
182,BRISE,Bitgert
183,IOST,IOST
184,CELR,Celer-Network
185,ZRX,0x
186,XYM,Symbol
187,MX,MX-TOKEN
188,RON14101,Ronin
189,LPT,Livepeer
190,HIVE,Hive
191,LQTY,Liquity
192,BICO,Biconomy
193,ELON,Dogelon-Mars
194,FLUX,Flux
195,CHSB,SwissBorg
196,ELF,aelf
197,RSR,Reserve-Rights
198,POLY,POLY-Maximus
199,BORA,BORA
200,ACH,Alchemy-Pay
201,KEEP,Keep-Network
202,SKL,SKALE
203,WAXP,WAX
204,BNX23635,BinaryX
205,SFP,SafePal
206,AMP,Amp
207,DGB,DigiByte
208,WEVER,Wrapped-Everscale
209,JOE,JOE
210,EVER,Everscale
211,ILV,Illuvium
212,SXP,Solar
213,CORE23254,Core
214,RIF,RSK-Infrastructure-Framework
215,STORJ,Storj
216,RLC,iExec-RLC
217,GTC10052,Gitcoin
218,UMA,UMA
219,TRAC,OriginTrail
220,ALI16876,Artificial-Liquid-Intelligence
221,ZEN,Horizen
222,LSK,Lisk
223,TEL,Telcoin
224,MULTI17050,Multichain
225,EURS,STASIS-EURO
226,BTRST,Braintrust
227,SYS,Syscoin
228,LYXE,LUKSO
229,AXL17799,Axelar
230,TRIBE,Tribe
231,API3,API3
232,MBX18895,MARBLEX
233,XNO,Nano
234,VVS,VVS-Finance
235,SYN12147,Synapse
236,PLA7461,PlayDapp
237,HFT22461,Hashflow
238,PUNDIX,Pundi-X-(New)
239,KNC,Kyber-Network-Crystal-v2
240,TOMI23246,tomiNet
241,MED,MediBloc
242,SLP,Smooth-Love-Potion
243,METIS,MetisDAO
244,PEOPLE,ConstitutionDAO
245,RENBTC,renBTC
246,RBN,Ribbon-Finance
247,NFT9816,APENFT
248,MC,Merit-Circle
249,CHR,Chromia
250,NMR,Numeraire
251,EWT,Energy-Web-Token
252,SNT,Status
253,VUSDC,Venus-C
254,DENT,Dent
255,CFG,Centrifuge
256,SCRT,Secret
257,CVC,Civic
258,STG18934,Stargate-Finance
259,XCN18679,Onyxcoin
260,COCOS,Cocos-BCX
261,RAD,Radicle
262,DEXE,DeXe
263,REN,Ren
264,LOCUS,Locus-Chain
265,RBTC,Rootstock-Smart-Bitcoin
266,POLYX,Polymesh
267,VGX,Voyager-Token
268,ONG3217,Ontology-Gas
269,NYM,NYM
270,PYR,Pyroblock
271,CTSI,Cartesi
272,REQ,Request
273,NU,NuCypher
274,USDX6651,X-[Kava]
275,ANT,Aragon
276,HOOK,Hooked-Protocol
277,DKA,dKargo
278,REP,Augur
279,GAL11877,Galxe
280,DERO,Dero
281,MVL,MVL
282,STEEM,Steem
283,ABBC,ABBC-Coin
284,HUM,Humanscape
285,ERG,Ergo
286,STPT,STP
287,BNT,Bancor
288,ORBS,Orbs
289,ARDR,Ardor
290,MNW,Morpheus.Network
291,DESO,Decentralized-Social
292,PROM,Prom
293,MBOX,MOBOX
294,POWR,Powerledger
295,VBG,Vibing
296,COTI,COTI
297,WILD,Wilder-World
298,XPLA,XPLA
299,VTHO,VeThor-Token
300,TRU7725,TrueFi
301,CEL,Celsius
302,AVINOC,AVINOC
303,ALPHA,Alpha-Venture-DAO
304,MTL,Metal-DAO
305,MRS21178,Metars-Genesis
306,WIN,WINkLink
307,STRAX,Stratis
308,IQ,IQ
309,VOLT19650,Volt-Inu-V2
310,FX,Function-X
311,NKN,NKN
312,PHA,Phala-Network
313,DUSK,Dusk-Network
314,LOOM,Loom-Network
315,CQT,Covalent
316,POND,Marlin
317,DODO,DODO
318,MDX,Mdex
319,CTC,Creditcoin
320,XCAD,XCAD-Network
321,SPELL,Spell-Token
322,CEEK,CEEK-VR
323,MLK,MiL.k
324,FUN,FUNToken
325,SAITAMA20513,Saitama
326,AURA21532,Aura-Finance
327,ALICE,MyNeighborAlice
328,XVS,Venus
329,QKC,QuarkChain
330,TSUKA,Dejitaru-Tsuka
331,WNXM,Wrapped-NXM
332,WMT,World-Mobile-Token
333,CTK4807,Shentu
334,ARRR,Pirate-Chain
335,HIGH,Highstreet
336,RLY,Rally
337,DEL,Decimal
338,SOLO,Sologenic
339,BSW,Biswap
340,BFC7817,Bifrost
341,XYO,XYO
342,LOOKS,LooksRare
343,UOS,Ultra
344,DAG,Constellation
345,TLM,Alien-Worlds
346,XSGD,XSGD
347,GRV,Grove-Coin
348,ACA,Acala-Token
349,VERI,Veritaseum
350,PENDLE,Pendle
351,VRA,Verasity
352,RACA,RACA
353,WRX,WazirX
354,LCX,LCX
355,ORC,Orclands-Metaverse
356,CCD,Concordium
357,LAT,PlatON
358,XPRT,Persistence
359,SRM,Serum
360,AXEL,AXEL
361,YGG,Yield-Guild-Games
362,VBUSD,Venus-B
363,OXT,Orchid
364,FNCY,FNCY
365,CORE,cVault.finance
366,SUN,Sun-(New)
367,REEF,Reef
368,QUACK,RichQUACK.com
369,BETA,Beta-Finance
370,STRK,Strike
371,OGN,Origin-Protocol
372,PERP,Perpetual-Protocol
373,QLC,Kepple
374,STMX,StormX
375,VAI,Vai
376,BADGER,Badger-DAO
377,MFT,Hifi-Finance-(Old)
378,TKO,Toko-Token
379,ANKRETH,Ankr-Staked-ETH
380,NVIR,NvirWorld
381,ATA,Automata-Network
